id,titre,etat,categorie,severite,priorite,cvss4,confiance,route_ou_fichier,role,impact_securite,cause_racine,correction,effort,referentiel
MS-011,Aucune sauvegarde ni restauration; persistance non garantie,VERIFIE+NON TESTE,exploitation,critique,P0,,elevee,lib/db/server.ts / netlify.toml,-,Perte totale et definitive des donnees clients,SQLite possible sur FS ephemere; aucun RPO/RTO,Interdire SQLite en prod + PITR + restauration reelle documentee,M,Google SRE / ISO 27001 A.12.3
MS-012,Detournement de compte Stripe Connect,VERIFIE,securite,critique,P0,8.6,elevee,api/stripe/connect/onboarding/route.ts,anonyme,Lien d'onboarding Connect pour une organisation arbitraire,organizationId depuis le corps de requete sans auth,requireOrganization() + colonnes manquantes + rate limit,M,OWASP API1:2023 / PCI DSS
MS-013,/api/reminders/check non authentifie,VERIFIE,securite,elevee,P1,6.9,elevee,api/reminders/check/route.ts,anonyme,Declenchement arbitraire et enumeration d'organisations,Endpoint cron sans secret,Secret de cron en en-tete + auth + rate limit,S,OWASP API4:2023
MS-014,Webhook Stripe sans idempotence; subscription.deleted ignore,VERIFIE,paiement,elevee,P1,,elevee,api/stripe/webhook/route.ts,-,Droits payants conserves apres resiliation; effets dupliques au rejeu,Cases vides + aucune table d'evenements traites,Table stripe_events + traitement de deleted/updated/payment_failed,M,Stripe best practices / OWASP API
MS-015,Le service d'e-mail est une simulation,VERIFIE,fonctionnel,elevee,P1,,elevee,lib/email/index.ts,-,Aucun e-mail jamais envoye (facture relance reinitialisation),Implementation console.log retournant true,Integrer un fournisseur reel + SPF/DKIM/DMARC + file d'attente,M,-
MS-016,Reinitialisation de mot de passe factice,VERIFIE,securite,elevee,P1,,elevee,(auth)/forgot-password / reset-password,anonyme,Utilisateur bloque definitivement en cas d'oubli,Ecran de demonstration avec token 'dummy-token',Jeton signe a usage unique + expiration + revocation des sessions,M,ASVS V2.5 / CWE-640
MS-017,Aucune politique de mot de passe ni rate limiting,VERIFIE,securite,elevee,P1,7.3,elevee,api/auth/[...nextauth] / validation/schemas.ts,anonyme,Bourrage d'identifiants et force brute triviaux,Aucun controle implemente,Politique NIST 800-63B + rate limit par IP et par compte + verrouillage progressif,M,ASVS V2.1 / OWASP API4:2023
MS-018,notificationService et reminderService sont des classes vides,VERIFIE,fonctionnel,elevee,P1,,elevee,lib/services/notification.service.ts / reminder.service.ts,-,Fonctionnalites affichees mais inexistantes,Stubs jamais implementes,Implementer ou retirer l'interface utilisateur correspondante,M,ISO 25010
MS-019,Quotas et plans jamais appliques,VERIFIE,revenu,elevee,P1,,elevee,global,tout role,Plan gratuit equivalent au plan Business; fuite de revenu,subscriptionTier jamais lu comme garde-fou,Middleware d'entitlement + compteurs d'usage + blocage a la limite,M,-
MS-020,Schema sans FK ni index; cascades non transactionnelles,VERIFIE,base de donnees,elevee,P1,,elevee,lib/db/schema.ts / client.service.ts:60-75,-,Integrite referentielle non garantie; suppressions partielles,Schema genere sans contraintes,Migration FK ON DELETE + index sur organization_id + transactions,M,ISO 25010 / CIS
MS-021,result.changes incompatible PostgreSQL,VERIFIE,base de donnees,elevee,P1,,elevee,lib/services/client.service.ts:74,-,Suppression reussie signalee comme echouee en production,API pilote differente entre better-sqlite3 et postgres-js,Abstraire le retour ou verifier par relecture,S,ISO 25010 portabilite
MS-022,Aucune Row-Level Security Supabase,NON TESTE,securite,elevee,P1,,moyenne,infrastructure Supabase,anonyme,Si RLS absente: API PostgREST ouverte avec la cle publique,Non verifiable sans acces au projet,Activer RLS sur toutes les tables + politiques par organization_id,M,Supabase / OWASP API1
MS-023,netlify.toml redirige /* vers /index.html,VERIFIE,infrastructure,elevee,P1,,elevee,netlify.toml,-,Redirection SPA incompatible avec le rendu serveur Next.js,Configuration copiee d'un projet statique,Supprimer le bloc redirects; laisser plugin-nextjs gerer le routage,XS,Netlify docs
MS-024,Aucun en-tete de securite,VERIFIE,securite,elevee,P1,6.1,elevee,next.config.ts,anonyme,Aucune protection XSS clickjacking sniffing transport,Aucun bloc headers() defini,CSP + HSTS + X-Content-Type-Options + Referrer-Policy + Permissions-Policy,S,OWASP Secure Headers
MS-025,Aucune observabilite,VERIFIE,exploitation,elevee,P1,,elevee,global (60+ console.*),-,Aucun incident detectable ni diagnosticable,Journalisation par console uniquement,Logs structures + OpenTelemetry + correlation ID + alertes,L,Google SRE / OpenTelemetry
MS-026,requestService.findAll expose les demandes privees,VERIFIE,securite,elevee,P1,6.5,elevee,lib/services/request.service.ts:12,anonyme,Fuite des demandes marquees privees,Aucun filtre sur visibility,Filtrer par visibility et par proprietaire,S,OWASP API3:2023
MS-027,IDOR sur la messagerie,VERIFIE,securite,elevee,P1,7.1,elevee,lib/services/message.service.ts,anonyme,Lecture de conversations tierces; marquage lu arbitraire,Aucun controle de participation,Verifier que l'appelant est emetteur ou destinataire,S,OWASP API1:2023 / CWE-639
MS-028,CI sans lint ni typecheck ni build,VERIFIE,devops,elevee,P1,,elevee,.github/workflows/test.yml,-,251 erreurs ESLint passent inapercues; regressions non detectees,Pipeline minimal,Ajouter lint typecheck build audit + branches protegees,S,DORA / SLSA
MS-029,Test factice pour satisfaire la CI,VERIFIE,tests,elevee,P1,,elevee,__tests__/unit/services/user.service.test.ts,-,Illusion de couverture,Contournement d'un echec CI,Ecrire de vrais tests ou supprimer le fichier,S,-
MS-030,Aucun export ni suppression de compte (RGPD),VERIFIE,conformite,elevee,P1,,elevee,global,tout role,Droits d'acces effacement portabilite non exercables,Fonctionnalites non developpees,Export JSON/CSV + suppression avec purge et anonymisation,M,RGPD art. 15-17-20
MS-031,Aucun consentement cookies ni registre ni DPA,VERIFIE,conformite,elevee,P1,,elevee,(legal)/*,-,Non-conformite RGPD et ePrivacy,Textes squelettiques de 19-21 lignes,Politique complete + bandeau consentement + registre + DPA sous-traitants,M,RGPD / ePrivacy
MS-032,Signature sans preuve ni horodatage,VERIFIE,conformite,elevee,P1,,elevee,invoice.service.ts / schema,-,Valeur probante nulle en cas de litige,signature_ip jamais renseigne; aucun scellement,Capture IP+UA+horodatage serveur + hachage du PDF + journal d'audit,M,eIDAS
MS-033,Type any generalise sur la surface d'API,VERIFIE,qualite,elevee,P1,,elevee,src/app/actions/*,-,Aucune validation d'entree; typage inoperant,Generation rapide des actions,Schemas zod sur chaque action + eslint no-explicit-any bloquant,M,ISO 25010
MS-034,role 'admin' code en dur; colonne absente du schema,VERIFIE,securite,moyenne,P2,,elevee,app/actions/auth.ts:44 / db/schema.ts,-,Modele de roles incoherent; RBAC limite a deux valeurs,Derive entre code et schema,Definir le modele de roles puis migrer,M,-
MS-035,Aucune verification d'adresse e-mail,VERIFIE,securite,moyenne,P2,,elevee,app/actions/auth.ts,anonyme,Inscription avec e-mail arbitraire; usurpation d'identite,Non implemente,Jeton de verification + acces restreint avant validation,M,ASVS V2.5
MS-036,Fichiers de developpement a la racine,VERIFIE,qualite,moyenne,P2,,elevee,fix_*.js fix_imports.py test-db-auth.ts src/testiii monservice.db,-,Bruit; risque de fuite; fichiers versionnes inutiles,Scripts ponctuels non nettoyes,Supprimer ou deplacer dans tools/ et ignorer,XS,-
MS-037,database.sqlite avec donnees reelles dans l'arborescence,VERIFIE,confidentialite,moyenne,P2,,elevee,database.sqlite (118 Ko),-,Donnees personnelles reelles sur poste de developpement,Base de developpement conservee,Purger; utiliser exclusivement des donnees synthetiques,XS,RGPD art. 5
MS-038,Deux configurations de test concurrentes,VERIFIE,tests,moyenne,P2,,elevee,jest.config.js / vitest.config.ts,-,Confusion; tests jamais executes par les deux runners,Migration Jest vers Vitest inachevee,Supprimer Jest et ses dependances,S,-
MS-039,Fichiers d'actions en doublon,VERIFIE,qualite,moyenne,P2,,elevee,dashboard.actions.ts/dashboard.ts notification.actions.ts/notification.ts,-,Deux sources de verite pour la meme fonction,Refactorisation inachevee,Fusionner et supprimer les doublons,S,-
MS-040,Trois versions d'API Stripe differentes,VERIFIE,paiement,moyenne,P2,,elevee,stripe/index.ts webhook create-payment,-,Comportements divergents entre routes,Copies successives,Une seule version centralisee sans as any,S,Stripe docs
MS-041,AuthContext recharge l'organisation sans cache,VERIFIE,performance,moyenne,P2,,moyenne,components/auth/AuthContext.tsx,-,Requete serveur redondante a chaque montage,useEffect sans memoisation,Mettre en cache ou inclure l'organisation dans la session,S,-
MS-042,Aucune pagination sur les listes,VERIFIE,performance,moyenne,P2,,elevee,tous les services findAll,-,Degradation lineaire avec le volume; risque memoire,SELECT sans LIMIT,Pagination par curseur + limites serveur,M,OWASP API4:2023
MS-043,Recherche globale en memoire,VERIFIE,performance,moyenne,P2,,elevee,lib/services/search.service.ts,-,Six collections completes chargees a chaque frappe,Filtrage JavaScript apres chargement total,Recherche SQL full-text + index + debounce,M,-
MS-044,Etats vide et erreur non homogenes,PROBABLE,ux,moyenne,P2,,moyenne,components/*,-,Utilisateur sans retour clair en cas d'echec,Absence de convention,Composants EmptyState et ErrorState partages,M,Nielsen
MS-045,ErrorBoundary present mais non branche,VERIFIE,ux,moyenne,P2,,elevee,components/ErrorBoundary.tsx,-,Une erreur client casse la page entiere,Composant non utilise,Brancher via error.tsx par segment,S,-
MS-046,Aucun robots.txt ni sitemap ni metadonnees,VERIFIE,seo,moyenne,P2,,elevee,public/ / app/layout.tsx,-,Pages privees potentiellement indexables; vitrine invisible,Non configure,robots.txt + sitemap + generateMetadata + noindex sur les espaces prives,S,-
MS-047,Aucune internationalisation,VERIFIE,i18n,moyenne,P2,,elevee,global,-,Chaines francaises codees en dur; aucune ouverture internationale,Non prevu,next-intl ou equivalent si l'international est vise,L,-
MS-048,Textes legaux squelettiques,VERIFIE,conformite,faible,P3,,elevee,(legal)/*,-,Mentions legales et CGU insuffisantes,Contenu de remplissage,Redaction juridique complete,M,-
MS-049,Aucune page de statut ni canal d'incident,VERIFIE,exploitation,faible,P3,,elevee,-,-,Aucune communication client en cas de panne,Non prevu,Page de statut + procedure de communication,S,Google SRE
MS-050,Aucun changelog ni version affichee,VERIFIE,exploitation,faible,P3,,elevee,-,-,Impossible de tracer la version deployee,Non prevu,Afficher le SHA de build + CHANGELOG,XS,DORA
MS-051,Documentation technique absente,VERIFIE,documentation,faible,P3,,elevee,README.md,-,Onboarding developpeur difficile,README minimal,ADR + schema d'architecture + guide de contribution,M,-
MS-052,Documents d'audit anterieurs obsoletes et contradictoires,VERIFIE,documentation,faible,P3,,elevee,PROJECT_AUDIT_AND_HANDOVER.md Rapport28072026.md,-,Informations trompeuses pour un repreneur,Non mis a jour,Archiver ou mettre a jour,XS,-
MS-053,Etats focus-visible non homogenes,PROBABLE,accessibilite,faible,P3,,faible,components/ui/*,-,Navigation clavier degradee,Absence de convention,Jeton focus partage; a confirmer par test reel,S,WCAG 2.4.7
MS-054,Aucun mode sombre malgre des jetons partiels,VERIFIE,ui,faible,P3,,elevee,globals.css,-,Confort d'utilisation,Non implemente,Implementer ou retirer les jetons inutilises,S,-
MS-055,Dependances inutilisees,VERIFIE,supply chain,faible,P3,,moyenne,package.json,-,Surface d'attaque et poids inutiles,@auth/core uuid jest,Nettoyer; utiliser crypto.randomUUID,XS,SLSA
